VIN,Make,Model,Mileage,Year,Price,Zip Code
W0Z0RNY8MJXW74013,Mercedes Benz,Camaro,23190,2000,25802,61270
TALC23HUYWPS10261,Polestar,Mustang,190402,1962,22309,65638
V9VTWGTZL1P643000,Maserati,Spyder,116434,2008,47392,80419-7741
N7MBTYX4TREK51073,Bugatti,V90,78904,2011,10274,65049
UD5S2G8WCBLR28689,Kia,Camry,1955,2016,11777,91258-9686
XGGX399CMDC380845,Tesla,Grand Cherokee,59654,1960,30255,15814-5320
LSJA7CA7EZFV35541,Mazda,Civic,80848,2007,19016,73969-4438
DY8KGVVH45YT82604,Hyundai,Spyder,185481,2006,56054,46475-5362
F0F3RL683RKS18412,Mercedes Benz,Wrangler,137448,1972,60613,99239
KBXC33NPUSUW27558,Aston Martin,Grand Cherokee,34624,1969,36249,73451-9223
