VIN,Make,Model,Mileage,Year,Price,Zip Code
,Ferrari,Volt,36341,1954,55160,34179
RPNPSS53BRDG70861,Volvo,Beetle,185560,1961,9021,69893-9477
8PD486XXD1YR38505,Aston Martin,Mercielago,98068,1967,41741,88057
V3AKJEL5SCVT66634,Nissan,2,135728,1960,55019,12547-0488
G39FUZPKSCN136515,BMW,Golf,182843,1990,30698,73528-3346
YD5WBJPXMEZN85810,Fiat,CX-9,75209,2018,3621,08452-6362
BKU0RM0H4PG577023,Dodge,Model X,141345,2008,56703,91724-2610
YWU173A611KX35798,Jeep,LeBaron,47437,2009,34325,54324-5579
LEVA3WPYMGC935891,Mini,PT Cruiser,26070,1963,63410,38893
0TEWRZBW80Y313011,Mini,Mercielago,167720,2014,3132,35450
